PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Typeticket
892,,3,0,30,0,0,1,2,2
893,,3,1,40,1,0,1,3,2
894,,2,0,60,0,0,1,2,1
895,,3,0,20,0,0,1,3,2
896,,3,1,20,1,1,1,3,2
897,,3,0,10,0,0,1,3,6
898,,3,2,30,0,0,1,2,2
899,,2,0,20,1,1,4,3,1
900,,3,1,10,0,0,1,1,1
901,,3,0,20,2,0,3,3,9
902,,3,0,20,0,0,1,3,2
903,,1,0,40,0,0,3,3,5
904,,1,1,20,1,0,11,3,1
905,,2,0,60,1,0,3,3,1
906,,1,1,40,1,0,8,3,15
907,,2,1,20,1,0,3,1,14
908,,2,0,30,0,0,1,2,1
909,,3,0,20,0,0,1,1,1
910,,3,2,20,1,0,1,3,14
911,,3,1,40,0,0,1,1,1
912,,1,0,50,1,0,8,1,13
913,,3,0,0,0,1,0,3,10
914,,1,1,20,0,0,4,3,13
915,,1,0,20,0,1,8,1,13
916,,1,1,40,1,3,37,1,13
917,,3,0,50,1,0,2,3,9
918,,1,2,20,0,1,8,1,0
919,,3,0,20,0,0,1,1,1
920,,1,0,40,0,0,4,3,0
921,,3,0,20,2,0,3,1,1
922,,2,0,50,1,0,3,3,14
923,,2,0,20,2,0,4,3,10
924,,3,1,30,1,2,2,3,10
925,,3,1,20,1,2,3,3,15
926,,1,0,30,1,0,8,1,0
927,,3,0,10,0,0,1,1,1
928,,3,2,20,0,0,1,3,2
929,,3,2,20,0,0,1,3,2
930,,3,0,20,0,0,1,3,2
931,,3,0,20,0,0,8,3,0
932,,3,0,30,0,1,1,1,2
933,,1,0,20,0,0,3,3,0
934,,3,0,40,0,0,1,3,14
935,,2,1,30,0,0,1,3,1
936,,1,1,40,1,0,7,3,0
937,,3,0,20,0,0,1,3,14
938,,1,0,40,0,0,4,1,13
939,,3,0,20,0,0,1,2,2
940,,1,1,60,0,0,10,1,0
941,,3,1,30,0,2,2,3,10
942,,1,0,20,1,0,8,3,0
943,,2,0,20,0,0,2,1,14
944,,2,2,20,2,1,3,3,1
945,,1,2,20,3,2,37,3,0
946,,2,0,20,0,0,2,1,14
947,,3,0,10,4,1,4,2,2
948,,3,0,30,0,0,1,3,2
949,,3,0,20,0,0,1,3,2
950,,3,0,20,1,0,2,3,2
951,,1,2,30,0,0,37,1,13
952,,3,0,10,0,0,1,3,2
953,,2,0,30,0,0,1,3,1
954,,3,0,10,0,0,1,3,2
955,,3,2,20,0,0,1,2,2
956,,1,0,10,2,2,37,1,13
957,,2,1,20,0,0,3,3,11
958,,3,2,10,0,0,1,2,2
959,,1,0,40,0,0,6,3,0
960,,1,0,30,0,0,4,1,1
961,,1,1,60,1,4,37,3,0
962,,3,2,20,0,0,1,2,2
963,,3,0,20,0,0,1,3,2
964,,3,2,20,0,0,1,3,2
965,,1,0,20,0,0,3,1,13
966,,1,2,30,0,0,30,1,0
967,,1,0,30,0,0,30,1,0
968,,3,0,20,0,0,1,3,2
969,,1,1,50,2,0,3,3,0
970,,2,0,30,0,0,1,3,1
971,,3,2,20,0,0,1,2,2
972,,3,0,0,1,1,2,1,1
973,,1,0,60,1,0,31,3,13
974,,1,0,40,0,0,3,3,0
975,,3,0,20,0,0,1,3,2
976,,2,0,20,0,0,1,2,1
977,,3,0,20,1,0,2,1,1
978,,3,2,20,0,0,1,2,2
979,,3,2,10,0,0,1,3,9
980,,3,1,20,0,0,1,2,2
981,,2,0,0,1,1,3,3,1
982,,3,1,20,1,0,1,3,2
983,,3,0,20,0,0,1,3,2
984,,1,1,20,1,2,7,3,11
985,,3,0,20,0,0,1,3,2
986,,1,0,20,0,0,3,1,0
987,,3,0,20,0,0,1,3,2
988,,1,1,70,1,0,11,3,0
989,,3,0,20,0,0,1,3,14
990,,3,2,20,0,0,1,3,2
991,,3,0,30,0,0,1,3,9
992,,1,1,40,1,0,7,1,0
993,,2,0,20,1,0,3,3,1
994,,3,0,20,0,0,1,2,2
995,,3,0,20,0,0,1,3,2
996,,3,1,10,1,1,1,1,1
997,,3,0,20,0,0,3,3,10
998,,3,0,20,0,0,1,2,2
999,,3,0,20,0,0,1,2,2
1000,,3,0,20,0,0,1,3,2
1001,,2,0,10,0,0,1,3,1
1002,,2,0,40,0,0,2,1,1
1003,,3,2,20,0,0,1,2,2
1004,,1,2,30,0,0,4,1,13
1005,,3,2,10,0,0,1,2,2
1006,,1,1,60,1,0,31,3,13
1007,,3,0,10,1,0,2,1,1
1008,,3,0,20,0,0,0,1,1
1009,,3,2,0,1,1,2,3,13
1010,,1,0,30,0,0,10,1,0
1011,,2,1,20,1,0,3,3,14
1012,,2,2,10,0,0,2,3,10
1013,,3,0,20,1,0,1,2,2
1014,,1,1,30,1,0,8,1,0
1015,,3,0,20,0,0,1,3,2
1016,,3,0,20,0,0,1,2,2
1017,,3,2,10,0,1,2,3,2
1018,,3,0,20,0,0,1,3,2
1019,,3,2,20,2,0,3,2,2
1020,,2,0,40,0,0,1,3,1
1021,,3,0,20,0,0,1,3,2
1022,,3,0,30,0,0,1,3,14
1023,,1,0,50,0,0,4,1,0
1024,,3,1,20,0,4,3,3,3
1025,,3,0,20,1,0,0,1,1
1026,,3,0,40,0,0,1,3,2
1027,,3,0,20,0,0,1,3,2
1028,,3,0,20,0,0,1,1,1
1029,,2,0,20,0,0,1,3,1
1030,,3,2,20,0,0,1,3,14
1031,,3,0,40,1,6,6,3,10
1032,,3,2,10,5,2,6,3,10
1033,,1,2,30,0,0,21,3,0
1034,,1,0,60,1,3,37,1,13
1035,,2,0,20,0,0,3,3,1
1036,,1,0,40,0,0,3,3,0
1037,,3,0,30,3,0,2,3,2
1038,,1,0,20,0,0,7,3,0
1039,,3,0,20,0,0,1,3,14
1040,,1,0,20,0,0,3,3,0
1041,,2,0,30,1,1,3,3,1
1042,,1,1,20,0,1,11,1,0
1043,,3,0,20,0,0,1,1,2
1044,,3,0,60,0,0,0,3,2
1045,,3,1,30,0,2,1,3,2
1046,,3,0,10,4,2,4,3,2
1047,,3,0,20,0,0,1,3,14
1048,,1,2,20,0,0,31,3,13
1049,,3,2,20,0,0,1,3,2
1050,,1,0,40,0,0,3,3,0
1051,,3,1,20,0,2,1,3,14
1052,,3,2,20,0,0,1,2,2
1053,,3,0,0,1,1,2,1,1
1054,,2,2,20,0,0,1,3,1
1055,,3,0,20,0,0,1,3,2
1056,,2,0,40,0,0,1,3,1
1057,,3,1,20,1,1,3,3,2
1058,,1,0,40,0,0,7,1,13
1059,,3,0,10,2,2,4,3,15
1060,,1,1,20,0,0,3,1,0
1061,,3,2,20,0,0,1,3,6
1062,,3,0,20,0,0,1,3,14
1063,,3,0,20,0,0,1,1,1
1064,,3,0,20,1,0,1,3,2
1065,,3,0,20,0,0,1,1,1
1066,,3,0,40,1,5,4,3,2
1067,,2,2,10,0,2,5,3,1
1068,,2,2,20,0,0,5,3,10
1069,,1,0,50,1,0,7,1,0
1070,,2,1,30,0,3,5,3,1
1071,,1,1,60,0,2,11,1,13
1072,,2,0,30,0,0,1,3,1
1073,,1,0,30,1,1,11,1,13
1074,,1,1,10,1,0,7,3,0
1075,,3,0,20,0,0,1,2,6
1076,,1,1,20,1,1,35,1,13
1077,,2,0,40,0,0,2,3,1
1078,,2,2,20,0,1,3,3,14
1079,,3,0,10,2,0,1,3,9
1080,,3,2,20,8,2,9,3,10
1081,,2,0,40,0,0,1,3,1
1082,,2,0,30,1,0,3,3,1
1083,,1,0,20,0,0,3,3,0
1084,,3,0,10,1,1,2,3,9
1085,,2,0,60,0,0,1,2,1
1086,,2,0,0,0,2,4,3,1
1087,,3,0,30,0,0,1,3,2
1088,,1,0,0,0,2,19,1,0
1089,,3,2,10,0,0,1,3,2
1090,,2,0,20,0,0,1,3,10
1091,,3,1,20,0,0,1,3,5
1092,,3,2,20,0,0,2,2,2
1093,,3,0,0,0,2,2,3,2
1094,,1,0,40,1,0,32,1,13
1095,,2,2,0,1,1,3,3,1
1096,,2,0,20,0,0,1,3,10
1097,,1,0,20,0,0,3,1,11
1098,,3,2,30,0,0,1,2,8
1099,,2,0,20,0,0,1,3,1
1100,,1,2,30,0,0,3,1,13
1101,,3,0,20,0,0,1,3,2
1102,,3,0,30,0,0,3,3,10
1103,,3,0,20,0,0,1,3,14
1104,,2,0,10,0,0,10,3,14
1105,,2,1,60,1,0,3,3,1
1106,,3,2,30,4,2,1,3,2
1107,,1,0,40,0,0,6,3,0
1108,,3,2,20,0,0,1,2,2
1109,,1,0,50,1,1,23,3,2
1110,,1,1,50,1,1,30,1,0
1111,,3,0,20,0,0,1,3,2
1112,,2,2,30,1,0,1,1,14
1113,,3,0,20,0,0,1,3,2
1114,,2,1,20,0,0,1,3,15
1115,,3,0,20,0,0,1,3,2
1116,,1,1,50,0,0,3,1,13
1117,,3,1,20,0,2,2,1,1
1118,,3,0,20,0,0,1,3,2
1119,,3,2,20,0,0,1,2,2
1120,,3,0,40,0,0,2,3,10
1121,,2,0,30,0,0,1,3,1
1122,,2,0,10,0,0,9,3,1
1123,,1,2,20,0,0,3,3,0
1124,,3,0,20,1,0,0,3,2
1125,,3,0,20,0,0,1,2,2
1126,,1,0,30,1,0,10,1,13
1127,,3,0,20,0,0,1,3,2
1128,,1,0,60,1,0,10,1,0
1129,,3,0,20,0,0,1,1,1
1130,,2,2,10,1,1,1,3,1
1131,,1,1,40,1,0,15,1,13
1132,,1,1,50,0,0,3,1,0
1133,,2,1,40,0,2,4,3,1
1134,,1,0,40,1,1,19,1,0
1135,,3,0,20,0,0,1,3,2
1136,,3,0,20,1,2,3,3,15
1137,,1,0,40,1,0,7,3,0
1138,,2,1,20,0,0,3,3,11
1139,,2,0,40,1,1,4,3,1
1140,,2,1,20,1,0,3,3,1
1141,,3,1,20,1,0,2,1,1
1142,,2,2,0,1,2,3,3,10
1143,,3,0,20,0,0,1,3,14
1144,,1,0,20,1,0,19,1,0
1145,,3,0,20,0,0,1,3,6
1146,,3,0,30,0,0,1,3,2
1147,,3,0,20,0,0,1,3,10
1148,,3,0,20,0,0,1,2,9
1149,,3,0,20,0,0,1,3,2
1150,,2,2,10,0,0,1,3,1
1151,,3,0,20,0,0,1,3,2
1152,,3,0,30,1,0,2,3,2
1153,,3,0,20,0,0,1,3,2
1154,,2,1,20,0,2,3,3,1
1155,,3,2,0,1,1,1,3,2
1156,,2,0,30,0,0,1,1,10
1157,,3,0,20,0,0,1,3,2
1158,,1,0,20,0,0,0,3,0
1159,,3,0,20,0,0,1,3,10
1160,,3,2,20,0,0,1,3,9
1161,,3,0,10,0,0,1,3,2
1162,,1,0,40,0,0,10,1,0
1163,,3,0,20,0,0,1,2,2
1164,,1,1,20,1,0,19,1,0
1165,,3,2,20,1,0,2,2,2
1166,,3,0,20,0,0,1,1,1
1167,,2,2,20,1,0,3,3,1
1168,,2,0,20,0,0,1,3,14
1169,,2,0,40,1,0,3,3,1
1170,,2,0,30,1,0,3,3,10
1171,,2,0,20,0,0,1,3,15
1172,,3,2,20,0,0,1,3,2
1173,,3,0,0,1,1,1,3,14
1174,,3,2,20,0,0,1,2,2
1175,,3,2,0,1,1,2,1,1
1176,,3,2,0,1,1,2,3,2
1177,,3,0,30,0,0,1,3,9
1178,,3,0,20,0,0,1,3,14
1179,,1,0,20,1,0,11,3,1
1180,,3,0,20,0,0,1,1,1
1181,,3,0,20,0,0,1,3,9
1182,,1,0,20,0,0,5,3,13
1183,,3,2,30,0,0,0,2,2
1184,,3,0,20,0,0,1,1,1
1185,,1,0,50,1,1,11,3,2
1186,,3,0,30,0,0,1,3,2
1187,,3,0,20,0,0,1,3,2
1188,,2,2,0,1,2,5,1,14
1189,,3,0,20,2,0,3,1,1
1190,,1,0,30,0,0,6,3,0
1191,,3,0,20,0,0,1,3,2
1192,,3,0,30,0,0,1,3,2
1193,,2,0,20,0,0,2,1,1
1194,,2,0,40,0,1,3,3,14
1195,,3,0,20,0,0,1,3,2
1196,,3,2,20,0,0,1,2,2
1197,,1,1,60,1,1,3,3,0
1198,,1,0,30,1,2,21,3,0
1199,,3,0,0,0,1,1,3,2
1200,,1,0,50,1,1,13,3,0
1201,,3,1,40,1,0,2,3,2
1202,,3,0,10,0,0,1,3,2
1203,,3,0,20,0,0,1,1,1
1204,,3,0,20,0,0,1,3,12
1205,,3,2,30,0,0,1,2,2
1206,,1,1,50,0,0,19,1,13
1207,,3,2,10,0,0,1,2,9
1208,,1,0,50,1,0,20,1,13
1209,,2,0,10,0,0,1,3,1
1210,,3,0,20,0,0,1,3,2
1211,,2,0,20,2,0,4,3,10
1212,,3,0,20,0,0,1,3,2
1213,,3,0,20,0,0,1,1,1
1214,,2,0,20,0,0,1,3,1
1215,,1,0,30,0,0,3,3,0
1216,,1,2,30,0,0,30,3,1
1217,,3,0,20,0,0,1,3,14
1218,,2,2,10,2,1,5,3,1
1219,,1,0,40,0,0,11,1,13
1220,,2,0,20,1,0,3,3,1
1221,,2,0,20,0,0,1,3,1
1222,,2,1,40,0,2,5,3,10
1223,,1,0,30,0,0,4,1,13
1224,,3,0,20,0,0,1,1,1
1225,,3,1,10,1,1,2,1,1
1226,,3,0,20,0,0,1,3,2
1227,,1,0,30,0,0,3,3,0
1228,,2,0,30,0,0,1,3,1
1229,,3,0,30,0,2,1,1,1
1230,,2,0,20,0,0,4,3,10
1231,,3,0,20,0,0,1,1,1
1232,,2,0,10,0,0,1,3,10
1233,,3,0,30,0,0,1,3,2
1234,,3,0,20,1,9,9,3,10
1235,,1,1,50,0,1,73,1,13
1236,,3,0,20,1,1,2,3,9
1237,,3,2,10,0,0,1,3,2
1238,,2,0,20,0,0,1,3,1
1239,,3,1,30,0,0,1,1,1
1240,,2,0,20,0,0,1,3,1
1241,,2,2,30,0,0,3,3,11
1242,,1,1,40,0,1,9,1,13
1243,,2,0,20,0,0,1,3,11
1244,,2,0,10,0,0,10,3,14
1245,,2,0,40,1,2,9,3,1
1246,,3,2,0,1,2,2,3,10
1247,,1,0,50,0,0,3,3,0
1248,,1,1,50,2,0,7,3,0
1249,,3,0,20,0,0,1,3,0
1250,,3,0,20,0,0,1,2,2
1251,,3,1,30,1,0,2,3,2
1252,,3,0,10,8,2,9,3,10
1253,,2,1,20,1,1,5,1,14
1254,,2,1,30,0,0,3,3,10
1255,,3,0,20,0,0,1,3,2
1256,,1,1,20,1,0,7,1,0
1257,,3,1,20,1,9,9,3,10
1258,,3,0,20,1,0,2,1,1
1259,,3,2,20,0,0,5,3,2
1260,,1,1,40,0,1,8,1,0
1261,,2,0,20,0,0,1,1,14
1262,,2,0,20,1,0,1,3,1
1263,,1,2,30,0,0,19,1,0
1264,,1,0,40,0,0,0,3,0
1265,,2,0,40,0,0,1,3,1
1266,,1,1,50,1,1,11,3,2
1267,,1,2,40,0,0,37,1,13
1268,,3,2,20,2,0,1,3,2
1269,,2,0,20,0,0,1,3,1
1270,,1,0,50,0,0,7,3,5
1271,,3,0,0,4,2,4,3,2
1272,,3,0,20,0,0,1,2,2
1273,,3,0,20,0,0,1,2,2
1274,,3,1,20,0,0,2,3,2
1275,,3,1,10,1,0,2,3,2
1276,,2,0,20,0,0,1,3,14
1277,,2,2,20,1,2,9,3,1
1278,,3,0,20,0,0,1,3,2
1279,,2,0,50,0,0,1,3,1
1280,,3,0,20,0,0,1,2,2
1281,,3,0,0,3,1,3,3,2
1282,,1,0,20,0,0,13,3,0
1283,,1,1,50,0,1,5,3,13
1284,,3,0,10,0,2,2,3,10
1285,,2,0,40,0,0,1,3,10
1286,,3,0,20,3,1,3,3,2
1287,,1,1,10,1,0,8,3,0
1288,,3,0,20,0,0,1,2,2
1289,,1,1,40,1,1,11,1,0
1290,,3,0,20,0,0,1,3,2
1291,,3,0,30,0,0,1,2,1
1292,,1,2,30,0,0,23,3,2
1293,,2,0,30,1,0,3,3,1
1294,,1,2,20,0,1,8,1,0
1295,,1,0,10,0,0,6,3,0
1296,,1,0,40,1,0,3,1,0
1297,,2,0,20,0,0,1,1,14
1298,,2,0,20,1,0,1,3,1
1299,,1,0,50,1,1,30,1,0
1300,,3,2,20,0,0,1,2,2
1301,,3,2,0,1,1,1,3,14
1302,,3,2,20,0,0,1,2,2
1303,,1,1,30,1,0,12,2,0
1304,,3,2,20,0,0,1,3,2
1305,,3,0,20,0,0,1,3,9
1306,,1,1,30,0,0,15,1,13
1307,,3,0,30,0,0,1,3,14
1308,,3,0,20,0,0,1,3,2
1309,,3,0,20,1,1,3,1,1
